ResponseID,P1_name,P2_name,P3_name,P4_name,P5_name,P1_type,P2_type,P3_type,P4_type,P5_type
R_cJO8CJbU7S8TyF1,Ksc13,ksc7,,,,3,3,,,
R_jOUpXkbpOlgmHKw,Ksc13,,,,,3,,,,
R_kjdEklNyBi4fvEY,KSC13,,,,,3,,,,
R_2fgiApbt9FDbLhy,KSC13,KSC17,AC3,KSC22,KSC24,3,2,2,2,1
R_cQPv6MlZqeuX8Jv,M,M,,,,2,2,,,
R_4x8hGCq0Albu2jX,KSC26,,,,,3,,,,
R_g5kE6mojxvU6S3F,AC3,,,,,2,,,,
R_7FVgWxqWqBnIxRN,,,,,,,,,,
R_5uQuLL9ea9d6Ww1,AC3,,,,,2,,,,
R_2NREIUYtEEp2Zr2,Ksc15,Ksc22,,,,2,2,,,
R_f3CBqo7OeQvf49t,,,,,,,,,,
R_lkV9nGdB2ERY1Pd,AC4,,,,,2,,,,
R_i8sm4phs7cigEXP,Ksc22,,,,,2,,,,
R_79KpgE4A8PekLby,KSC7,KSC7,KSC7,,,3,3,3,,
R_1nbaT2cWrgZkWeY,,,,,,,,,,
R_fFwkWOV4ENP9FzY,KSC6,KSC26,,,,3,3,,,
R_gb3pDSjJv6uwgMo,Ksc22,,,,,2,,,,
R_421rnMBFSYlyrgP,Ksc22,AC4,,,,2,2,,,
R_lsNdTEbvN8vStaI,AC4,ksc13,,,,2,3,,,
R_72B5gCYYCX6TPIz,ksc25e,,,,,1,,,,
R_3qR621pVOXBpPEV,ksc7l,ksc15m,,,,3,2,,,
R_dMt1kSrUx7KNj1e,ksc13l,,,,,3,,,,
R_6RwSGC9UksgqF4o,tego,,,,,2,,,,
R_7TN1Ra45joIKBJu,,,,,,,,,,
R_fom78X7ExJ54SO1,,,,,,,,,,
R_dFPvRE7vsAJQm7f,,,,,,,,,,
R_1sifOHptl73zGB2,,,,,,,,,,
R_aiLe59Vv4pSrP7l,ksc11,ksc22,,,,3,2,,,
R_5xRVGkQzs2mAauP,ksc17,ksc17,,,,2,2,,,
R_bCPGP4siOy6mSfR,,,,,,,,,,
R_nNmqRdf4nwyOTec,dk3,,,,,2,,,,
R_4K8kyXkTAptrhQ2,AC3,KSC8,,,,2,3,,,
R_0MTHMOY9tRMnyVL,KSC15,,,,,2,,,,
R_1nQSPbaxUYrJbiY,KSC17,,,,,2,,,,
R_lNKlNSkRRrgV0N6,Ac4,3,Dk3,Tego/ syngenta,,2,,2,2,
R_3urF1gSK4asG4d3,,,,,,,,,,
R_1VHpQuUiSEwbpF5,Ksc15,Ac3,,,,2,2,,,
R_0ycCmEfWWLABSUQ,Ksc13,,,,,3,,,,
R_lFzhjf1ZQl1N02S,Ksc22,Recycled long,,,,2,3,,,
R_0fLmwhqoVJSXUZY,Ksc15,AC medium,,,,2,2,,,
R_9UCQBk1CaBtexuf,AC3,,,,,2,,,,
R_2VVeOilb4heMlB3,KSC15,KSC15,KSC15,KSC15,,2,2,2,2,
R_onPl3BkL7lIQ8pX,AC3,AC3,,,,2,2,,,
R_aEbsWtaqZXjZaiR,M,,,,,2,,,,
R_hOyl9L1pliTYHYq,M,,,,,2,,,,
R_nYIW9CZ7wZSmsNq,KSC7,AC3,,,,3,2,,,
R_eQi9HpeXj7Az7vV,AC43,KSC24,,,,2,1,,,
R_flwQnHkUBbdBltd,Ksc13,Ac43,,,,3,2,,,
R_ds4aie1IfDJsXRy,Ksc16,,,,,2,,,,
R_dyl9Ha9R632uk3o,KSC22,,,,,2,,,,
R_mAgWHBoGSj7Pbm9,AC3,,,,,2,,,,
R_lOoqxHQ5hKzpwzg,KSC13 ,KSC17,AC3,,,3,2,2,,
R_bUgzhixuuJXVLM5,Ksc10l,,,,,3,,,,
R_18sPpEVyMTZaTKo,Local,Local,Local,,,,,,,
R_kyahxS6Y00ygOa1,Local,Local,,,,,,,,
R_gVnwd8nFTSKElUF,DK3,KSC22,,,,2,2,,,
R_g4VcV4qXhmXFLRl,AC3,KSC18,,,,2,2,,,
R_f7zH4P0D7E5aARQ,DK3,AC3,DKE,,,2,2,1,,
R_6Hk55FczScBwvVl,KSC 13,,,,,3,,,,
R_6teqqzpjUNAuV9K,AC3,,,,,2,,,,
R_c8gPHY6u8zRfmlD,Recycled ,,,,,,,,,
R_3OXncKgeCnaWf9g,AC 43,Recycled,,,,2,,,,
R_aNBAyNPzesD2JgI,Recycled,,,,,,,,,
R_bfkxBGxNF8RlR7x,,,,,,,,,,
R_9bZoUDLafaKoQaY,Ac3l,Ksc5l,Ksc24e,O1l,,3,3,1,3,
R_9PjpMx3v3I93N41,Ksc11l,,,,,3,,,,
R_oNBTmigM6QF2kxh,KSC11,,,,,3,,,,
R_mHRaEfAV29Nw1XY,,,,,,,,,,
R_11jFXoEtmoazY5c,,,,,,,,,,
R_nitSd57G76gIE4E,O1,,,,,2,,,,
R_kFHAFInjhmw6dqs,KSC22,KSC17,,,,2,2,,,
R_0THTdAmE98PldH4,E,,,,,1,,,,
R_fYtrCgkiUtf4qQ9,KSC22,,,,,2,,,,
R_9tNSh793Qd4TlnP,M,,,,,2,,,,
R_nU5XbaiN1hIcJ4g,Ac3,,,,,2,,,,
R_e0H6b85kV4knzGa,Local,,,,,,,,,
R_nzZevC9VnPxc9HK,Ac3,Ac3,,,,2,2,,,
R_c3Hvju6oHzgqO3E,,,,,,,,,,
R_gmhYbBLRMbnYwQv,,,,,,,,,,
R_0DPDPVBltF0XwYv,,,,,,,,,,
R_oAITHyDK2FX2q2T,,,,,,,,,,
R_mJ3bkdmiq8chjPT,AC4,,,,,2,,,,
R_2s7cgHgjxddDadw,,,,,,,,,,
R_bnw6E3p5zUr7gxz,,,,,,,,,,
R_7AnjQqa9jk94Ygt,,,,,,,,,,
R_mGKnMplc7VbYLXw,,,,,,,,,,
R_e8qUfxIcgOKqX5F,,,,,,,,,,
R_9JPQhT4o9zozO40,,,,,,,,,,
R_6w8Pq6rTC7YaDVb,ksc14l,,,,,3,,,,
R_mCZUHHq1ZAVL2J8,ksc11l,,,,,3,,,,
R_giEJG1BX7rcC9g1,,,,,,,,,,
R_6UyvoXUIlC2irzS,KSC 11,,,,,3,,,,
R_9v8uaDSpA1kePbb,,,,,,,,,,
R_cQUscZPfmsqBJvr,,,,,,,,,,
R_bFaMvM1VRR5QBWA,,,,,,,,,,
R_eq0oxkuqyMChpoB,,,,,,,,,,
R_8CPE0Mk4Gmi1QDu,,,,,,,,,,
R_6apViSxvd9FHMwm,,,,,,,,,,
R_2fDaLSk3u5UZSMH,,,,,,,,,,
R_cXdUo5k91QOOXkJ,,,,,,,,,,
R_85wB1JbeB5wsAj6,,,,,,,,,,
R_eGimHeC2ZplXQM2,,,,,,,,,,
R_mYximNRq7UfQVL5,Ksc6,,,,,3,,,,
R_9HJJYwQ6rPJBzcO,,,,,,,,,,
R_32UeFhwIDenKZkf,,,,,,,,,,
R_jHIqHGJ9lOaIoHc,KSC13,,,,,3,,,,
R_lWkHyaSoc2zSTfv,Yellow maize,Sygenta,,,,,2,,,
R_kNhwUB067bJBFoO,,,,,,,,,,
R_oEG4At3480e23ot,Ksc18m,,,,,2,,,,
R_6Jk2SwpInFbTIWW,,,,,,,,,,
R_8EdUFQkXxqWAOhi,,,,,,,,,,
R_97m3Rqw464kIzfy,,,,,,,,,,
R_hycIdEFPJKQK6WR,,,,,,,,,,
R_1kzqT4tWoVlmj3p,,,,,,,,,,
R_lxPZH2Ei8LipnMB,POM,,,,,2,,,,
R_iYqcy9ZOvpLhwHO,,,,,,,,,,
R_0MnH8EvCDarl26Z,,,,,,,,,,
R_2PlvkUe8AEYXH7Q,,,,,,,,,,
R_7V2apo96wOJM3Fx,,,,,,,,,,
R_kgtdrxPYKGt8jV7,,,,,,,,,,
R_6xhywk7tRxcxNe5,,,,,,,,,,
R_2KOiewin4bHemd5,AC3,,,,,2,,,,
R_7cyBt12gBUgYIEt,,,,,,,,,,
R_83YPopwwRRRJxdB,,,,,,,,,,
R_jxdrja7uDwlLff5,,,,,,,,,,
R_2jviAlfvDhrrvyA,,,,,,,,,,
R_evaKkC5S9dUPVQ5,,,,,,,,,,
R_4TocAD0L33HFNyP,AC3,,,,,2,,,,
R_brSYZq2x5sbdsPa,,,,,,,,,,
R_1t6dj3nWufZrAaE,,,,,,,,,,
R_2c5YextqSyBDXgT,,,,,,,,,,
R_mVPqoyG7hdap7H3,,,,,,,,,,
R_2qmf9SEvnYTMVD6,,,,,,,,,,
R_lHZVV5Rrd4pi4pn,,,,,,,,,,
R_aLTbSmZwAnudGwH,,,,,,,,,,
R_iY8TPw49vmQuEC3,,,,,,,,,,
R_owGoZMlVsCDAAgP,,,,,,,,,,
R_3jBgqOBwv5NsILM,,,,,,,,,,
R_f95n2NOD60MnCnB,,,,,,,,,,
R_ctI4feIVNMrBOyB,,,,,,,,,,
